window_start,window_end,num_packets,pkts_per_sec,unique_dst_ports,avg_len,tcp_ratio,syn_ratio
1763234737.1270235,1763234739.2350597,8,3.795001099896005,0,98.0,0.0,0.0
1763234739.2350597,1763234741.2922652,8,3.8887705864662,0,98.0,0.0,0.0
1763234741.2922652,1763234743.3440356,8,3.8990716554712437,0,98.0,0.0,0.0
1763234743.3440356,1763234745.4067526,5,2.423987437327071,0,98.0,0.0,0.0
1763234745.4067526,1763234747.4649427,7,3.401046373227302,0,98.0,0.0,0.0
1763234747.4649427,1763234749.5119357,4,1.9540858060561321,0,98.0,0.0,0.0
1763234778.1838703,1763234780.2399936,8,3.890817330136366,0,137.0,0.0,0.0
1763234796.5133018,1763234798.5929952,8,3.8467210203618856,0,81.0,0.0,0.0
1763234968.0431182,1763234970.108077,4,1.93708464259303,0,98.0,0.0,0.0
1763234970.108077,1763234972.175777,8,3.86903339520663,0,98.0,0.0,0.0
1763234972.175777,1763234974.2466605,16,7.726170933056563,0,98.0,0.0,0.0
1763234974.2466605,1763234976.2993178,8,3.897386935245368,0,98.0,0.0,0.0
1763234976.2993178,1763234978.347074,4,1.9533575381841146,0,98.0,0.0,0.0
1763235002.8650265,1763235004.922667,8,3.887948257143089,0,81.0,0.0,0.0
1763235343.7056348,1763235345.7734418,4,1.934416548070791,0,98.0,0.0,0.0
1763235345.7734418,1763235347.8301208,8,3.8897659574394092,0,98.0,0.0,0.0
1763235347.8301208,1763235349.8768346,4,1.9543523590081704,0,98.0,0.0,0.0
1763235349.8768346,1763235351.9394019,8,3.8786614409329565,0,98.0,0.0,0.0
1763235351.9394019,1763235354.004038,8,3.874774588346587,0,98.0,0.0,0.0
1763235354.004038,1763235356.0850093,8,3.8443587505639747,0,98.0,0.0,0.0
1763235597.6743667,1763235599.7541962,48,23.078815379763732,0,130.83333333333334,0.0,0.0
1763235605.8856468,1763235607.9078548,12,5.934107740673952,0,135.83333333333334,0.0,0.0
1763236192.1038506,1763236194.1072402,1,0.49915403450625234,1,58.0,1.0,1.0
1763236194.1072402,1763236196.1329787,882,435.3967749076891,369,62.06802721088435,1.0,0.5929705215419501
1763236208.462939,1763236210.483621,251,124.21549636746737,172,66.98804780876495,1.0,0.649402390438247
1763236230.9655695,1763236233.0316443,193,93.41384711714375,71,56.21761658031088,1.0,0.5544041450777202
1763236358.0317197,1763236360.0757182,4,1.9569486178419113,0,98.0,0.0,0.0
1763236360.0757182,1763236362.1330721,8,3.88848982891514,0,98.0,0.0,0.0
1763236362.1330721,1763236364.2227857,8,3.828275846804308,0,98.0,0.0,0.0
1763236364.2227857,1763236366.2883685,8,3.872999032051269,0,98.0,0.0,0.0
1763236366.2883685,1763236368.3508992,8,3.878730039171733,0,98.0,0.0,0.0
1763236368.3508992,1763236370.3807628,4,1.9705757608324774,0,98.0,0.0,0.0
1763236421.63148,1763236423.711849,8,3.845471652704081,0,81.0,0.0,0.0
1763236429.8141365,1763236431.9060938,8,3.824169777549333,0,137.0,0.0,0.0
1763236442.0774174,1763236444.1510718,8,3.857923455801338,0,82.0,0.0,0.0
1763236450.3213787,1763236452.3806286,8,3.8849097847430625,0,90.0,0.0,0.0
1763236462.6453753,1763236464.659225,8,3.9724910254871193,0,81.0,0.0,0.0
1763236536.30633,1763236538.402634,12,5.724360753257081,0,135.83333333333334,0.0,0.0
1763236566.9650955,1763236569.0447176,16,7.693705763452433,0,83.0,0.0,0.0
1763236581.327274,1763236583.3823774,16,7.785496711729187,0,83.0,0.0,0.0
1763236587.4676862,1763236589.531947,16,7.75095889566081,0,83.0,0.0,0.0
1763236603.8571248,1763236605.9489481,8,3.8244147338256886,0,137.0,0.0,0.0
1763236610.0144494,1763236612.074097,16,7.768319352205425,0,83.0,0.0,0.0
1763236636.6506581,1763236638.6547966,196,97.7976337282354,71,56.183673469387756,1.0,0.5459183673469388
1763236679.7060614,1763236681.7262712,260,128.69950506138406,179,67.23076923076923,1.0,0.6615384615384615
1763236722.6701188,1763236724.7236848,246,119.79162223914699,0,124.65853658536585,0.0,0.0
1763236741.1733496,1763236743.1762867,68,33.95014288304136,0,78.76470588235294,0.0,0.0
1763236743.1762867,1763236745.2454715,207,100.0393981188622,0,133.2608695652174,0.0,0.0
1763237803.9227462,1763237806.0064094,8,3.8393920396287347,0,130.0,0.0,0.0
