ts,window_start,window_end,label,confidence,pkts_per_sec,unique_dst_ports,avg_len,tcp_ratio,syn_ratio,source
2025-11-15T19:19:58.119981,1763234396.0623636,1763234398.1171112,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:20:00.173970,1763234398.1171112,1763234400.173928,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:20:02.229522,1763234400.173928,1763234402.229484,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:20:04.276867,1763234402.229484,1763234404.27683,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:20:06.339246,1763234404.27683,1763234406.3392062,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:24:11.499361,1763234649.4559462,1763234651.496761,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:24:13.538567,1763234651.496761,1763234653.538526,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:24:15.577896,1763234653.538526,1763234655.5778563,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:24:17.629244,1763234655.5778563,1763234657.6292045,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:24:19.682227,1763234657.6292045,1763234659.6821902,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:24:21.719938,1763234659.6821902,1763234661.7198977,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:24:23.758879,1763234661.7198977,1763234663.7588391,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:24:25.803433,1763234663.7588391,1763234665.8033946,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:24:27.853750,1763234665.8033946,1763234667.8537111,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:24:29.903675,1763234667.8537111,1763234669.9036357,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:24:31.955887,1763234669.9036357,1763234671.955848,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:24:34.001781,1763234671.955848,1763234674.0017438,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:24:36.048519,1763234674.0017438,1763234676.048471,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:24:38.062283,1763234676.048471,1763234678.0621767,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:24:40.096860,1763234678.0621767,1763234680.096822,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:24:42.138563,1763234680.096822,1763234682.1385264,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:24:44.172664,1763234682.1385264,1763234684.1726236,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:24:46.206092,1763234684.1726236,1763234686.2060544,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:24:48.254209,1763234686.2060544,1763234688.2541692,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:24:50.273871,1763234688.2541692,1763234690.2737863,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:24:52.293608,1763234690.2737863,1763234692.2935703,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:24:54.317116,1763234692.2935703,1763234694.31708,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:24:56.349546,1763234694.31708,1763234696.349511,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:24:58.374237,1763234696.349511,1763234698.3741972,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
2025-11-15T19:25:00.417247,1763234698.3741972,1763234700.4172075,normal,0.0,0.0,0,0.0,0.0,0.0,heuristic
